bamfile,mean_depth,sd_depth,mean_depth_nonzero,mean_depth_within2sd,median,proportion_of_reference_covered
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_03_EKDL200012859-1a-AK11605-AK16247_HNLVYDSXY_L1_depth.gz,0.906730346439784,1.67891582631792,1.77345508526022,0.821557297861732,1,0.511279002200837
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_05_EKDL210004789-1a-AK11524-AK16276_HHJYYDSX2_L2_depth.gz,2.13642907287674,3.19548916871192,2.86545872734277,2.02505973935218,2,0.745580123870062
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_06_EKDL210004789-1a-AK11476-AK16258_HHJYYDSX2_L2_depth.gz,1.18621557133606,2.0151347602698,2.0037729746131,1.09721725358512,1,0.591991002156915
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_07_EKDL210004788-1a-AK11473-AK16281_HHJYYDSX2_L1_depth.gz,1.47441707592599,2.15754921742881,2.23926876400983,1.34193505004443,1,0.6584368520756
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_09_EKDL210004788-1a-AK2372-AK16292_HHJYYDSX2_L1_depth.gz,2.45888111464051,3.59082310233083,3.20270774787308,2.31195056332735,2,0.767750699786161
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_10_EKDL210005548-1a-AK11608-AK2002_HHJKNDSX2_L4_depth.gz,1.52074601388382,2.19380105228718,2.25931438283482,1.38966853899085,1,0.673100665156656
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_11_EKDL210005548-1a-AK11158-AK16267_HHJKNDSX2_L4_depth.gz,1.4849614770452,2.06750135814399,2.22985348464512,1.36183770970565,1,0.66594576158065
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_13_EKDL200012859-1a-AK11512-AK16284_HNLVYDSXY_L1_depth.gz,1.53936735996353,2.09340268094808,2.2913995489828,1.40465161956419,1,0.671802244460965
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_14_EKDL200012859-1a-AK11685-AK16235_HNLVYDSXY_L1_depth.gz,1.21774993347628,1.92066595815232,1.99873959224463,1.13735193423507,1,0.609258924074611
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_15_EKDL210004788-1a-AK11186-AK1268_HHJYYDSX2_L1_depth.gz,1.91677821765855,2.98926183820348,2.65959048526716,1.78942806879258,2,0.720704269426786
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_16_EKDL210004790-1a-AK11698-AK16226_HHJYYDSX2_L3_depth.gz,1.83710403708822,3.83272422183516,2.64372011633487,1.75810579852127,1,0.694893542526318
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_17_EKDL210004790-1a-AK11456-AK16260_HHJYYDSX2_L3_depth.gz,2.05853515417861,3.24834588398813,2.81870656662765,1.95193260099285,2,0.730311973069794
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_18_EKDL210005548-1a-AK11204-AK16254_HHJKNDSX2_L4_depth.gz,2.61266662635841,3.34166504863886,3.32565767742307,2.47392344442176,2,0.785609007233426
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_21_EKDL210004788-1a-AK11449-AK16245_HHJYYDSX2_L1_depth.gz,1.54979162797522,2.07083952120465,2.2927161004545,1.41668861897308,1,0.675963163371101
/home/projects/dp_00007/people/hmon/Shucking/07_depth/RIAE_22_EKDL210004788-1a-AK11572-AK16283_HHJYYDSX2_L1_depth.gz,1.24866956367896,2.03059801917967,2.03502109568479,1.15685141158742,1,0.613590476446054
