"","bamfile","mean_depth","proportion_of_reference_covered","pop"
"1","AGAB_01_EKDL210009123-1a-AK19113-AK23731_HTVH3DSX2_L3",1.31452801615805,0.626510705178195,"AGAB"
"2","AGAB_02_EKDL210009123-1a-AK19007-AK23732_HTVH3DSX2_L3",1.19566442606012,0.600456184391327,"AGAB"
"3","AGAB_03_EKDL210004790-1a-AK11377-AK16262_HHJYYDSX2_L3",1.31451388682744,0.621252457973577,"AGAB"
"4","AGAB_04_EKDL210004789-1a-AK11677-AK5989_HHJYYDSX2_L2",1.10841357952708,0.570866424415617,"AGAB"
"5","AGAB_05_EKDL210004789-1a-AK11659-AK16242_HHJYYDSX2_L2",1.6436595020609,0.676872835181046,"AGAB"
"6","AGAB_06_EKDL200012859-1a-AK11456-AK16260_HNLVYDSXY_L1",1.43141794363396,0.643229542238622,"AGAB"
"7","AGAB_07_01_EKDL200012859-1a-AK11401-AK7949_HNLVYDSXY_L1",1.73384687545769,0.691820676478208,"AGAB"
"8","AGAB_08_EKDL210004788-1a-AK11464-AK16277_HHJYYDSX2_L1",2.15693422444241,0.739647134696256,"AGAB"
"9","AGAB_10_EKDL210004788-1a-GG04-AK5420_HHJYYDSX2_L1",2.18068964183956,0.746640131339191,"AGAB"
"10","AGAB_11_EKDL210004790-1a-AK11471-AK16271_HHJYYDSX2_L3",1.86853454095565,0.710414667082499,"AGAB"
"11","AGAB_13_EKDL200012859-1a-AK11640-AK16265_HNLVYDSXY_L1",1.05604912034994,0.554714015721169,"AGAB"
"12","AGAB_14_EKDL200012859-1a-AK12637-AK16268_HNLVYDSXY_L1",1.23469050686429,0.605478724432226,"AGAB"
"13","AGAB_15_EKDL210004788-1a-AK11416-AK16269_HHJYYDSX2_L1",1.38723089636997,0.631502413350635,"AGAB"
"14","AGAB_18_EKDL200012859-1a-AK11718-AK16243_HNLVYDSXY_L1",0.831716190217387,0.491817177709101,"AGAB"
"15","AGAB_19_EKDL210004789-1a-AK11690-AK16231_HHJYYDSX2_L2",1.90339419283031,0.710660579669264,"AGAB"
"16","AGAB_20_EKDL210005548-1a-AK11178-AK16246_HHJKNDSX2_L4",1.67437615191151,0.683946432173789,"AGAB"
"17","AGAB_23_EKDL200012859-1a-AK11195-AK16227_HNLVYDSXY_L1",0.958015355750418,0.537638177649224,"AGAB"
"18","AGAB_24_EKDL210009123-1a-AK19137-AK23734_HTVH3DSX2_L3",1.03415183230786,0.548584082976352,"AGAB"
"19","AGAB_99_EKDL200012859-1a-AK11506-AK16290_HNLVYDSXY_L1",0.754831343939916,0.46071245490561,"AGAB"
"20","BARR_01_EKDL210005548-1a-AK11598-AK16273_HHJKNDSX2_L4",1.51487007345605,0.666414778676708,"BARR"
"21","BARR_02_EKDL210004789-1a-AK11506-AK16290_HHJYYDSX2_L2",1.44906251640196,0.65268381375002,"BARR"
"22","BARR_03_EKDL200012859-1a-AK11428-AK16253_HNLVYDSXY_L1",0.945955613047972,0.530099246229925,"BARR"
"23","BARR_04_EKDL210004790-1a-AK11710-AK16288_HHJYYDSX2_L3",1.00309950363555,0.533086823517023,"BARR"
"24","BARR_06_EKDL210005548-1a-AK11456-AK16260_HHJKNDSX2_L4",1.73272149128145,0.697645886968205,"BARR"
"25","BARR_07_EKDL210004788-1a-AK11160-AK9453_HHJYYDSX2_L1",1.38860556230921,0.63767480401168,"BARR"
"26","BARR_08_EKDL210005548-1a-AK11426-AK5939_HHJKNDSX2_L4",1.90068489483276,0.721435532215009,"BARR"
"27","BARR_09_EKDL210004790-1a-AK11677-AK5989_HHJYYDSX2_L3",1.10337810352696,0.547502965420086,"BARR"
"28","BARR_10_EKDL210004789-1a-AK11168-AK16259_HHJYYDSX2_L2",0.811930583325402,0.479488987046197,"BARR"
"29","BARR_11_EKDL210004789-1a-AK11177-AK16280_HHJYYDSX2_L2",1.8704904416903,0.708400558027451,"BARR"
"30","BARR_12_EKDL200012859-1a-AK11460-AK16272_HNLVYDSXY_L1",1.20918528769945,0.603613672590653,"BARR"
"31","BARR_13_EKDL200012859-1a-AK7415-AK16289_HNLVYDSXY_L1",1.31315112080563,0.628319264170375,"BARR"
"32","BARR_14_EKDL200012859-1a-AK11667-AK16287_HNLVYDSXY_L1",0.940931386670525,0.524148690955677,"BARR"
"33","BARR_15_EKDL200012859-1a-AK11171-AK16279_HNLVYDSXY_L1",0.701999526033451,0.443202681826216,"BARR"
"34","BOVA_01_EKDL200012859-1a-AK11177-AK16280_HNLVYDSXY_L1",1.26103194373277,0.606741899883066,"BOVA"
"35","BOVA_02_EKDL210009123-1a-AK27221-AK31193_HTVH3DSX2_L3",1.0769183177808,0.572411967385081,"BOVA"
"36","BOVA_03_EKDL210009123-1a-AK18987-AK34204_HTVH3DSX2_L3",2.08031967794842,0.733103325838755,"BOVA"
"37","BOVA_04_EKDL210004790-1a-AK11608-AK2002_HHJYYDSX2_L3",1.44953978570749,0.653318374997982,"BOVA"
"38","BOVA_05_EKDL210004789-1a-AK11416-AK16269_HHJYYDSX2_L2",1.09370374589674,0.570029499313147,"BOVA"
"39","BOVA_06_EKDL210004789-1a-AK11572-AK16283_HHJYYDSX2_L2",1.4819553687052,0.652658867160353,"BOVA"
"40","BOVA_07_EKDL210005548-1a-AK7685-AK16294_HHJKNDSX2_L4",1.52410136632185,0.663771493695143,"BOVA"
"41","BOVA_08_EKDL210004789-1a-AK11401-AK7949_HHJYYDSX2_L2",1.45849226902596,0.646776952883247,"BOVA"
"42","BOVA_09_EKDL210009123-1a-AK23715-AK23716_HTVH3DSX2_L3",1.25895630146559,0.61702877635268,"BOVA"
"43","BOVA_10_EKDL210009123-1a-AK18629-AK15913_HTVH3DSX2_L3",0.701653166305344,0.450743059509076,"BOVA"
"44","BOVA_11_EKDL210009122-1a-AK31162-AK31163_HTVH3DSX2_L3",0.956632015726048,0.539574849254789,"BOVA"
"45","BOVA_12_EKDL210004788-1a-AK11608-AK2002_HHJYYDSX2_L1",2.20285918870666,0.743573535152448,"BOVA"
"46","BOVA_13_EKDL200012859-1a-AK11246-AK16274_HNLVYDSXY_L1",1.15033766250997,0.582621131370402,"BOVA"
"47","BOVA_14_EKDL210004788-1a-AK11387-AK16228_HHJYYDSX2_L1",1.35369929553068,0.627721466685734,"BOVA"
"48","BOVA_15_EKDL210009122-1a-AK19045-AK31153_HTVH3DSX2_L3",0.650728667030748,0.428981432387099,"BOVA"
"49","BOVA_16_EKDL210005548-1a-AK11692-AK16230_HHJKNDSX2_L4",1.13641690957868,0.586729809982097,"BOVA"
"50","BOVA_17_EKDL210009122-1a-AK19289-AK31141_HTVH3DSX2_L3",0.792962026774746,0.484957177878248,"BOVA"
"51","BOVA_18_EKDL210009122-1a-AK19173-AK31131_HTVH3DSX2_L3",0.953171514916499,0.534418185458325,"BOVA"
